"","anoIdx","refIdx"
"2",3,37338
"3",4,44026
"4",9,43344
"5",14,37985
"6",18,37378
"7",19,44741
"8",23,38978
"9",24,38190
"10",27,37043
"11",34,38992
"12",36,39309
"13",38,43445
"14",40,39781
"15",41,46166
"16",42,39464
"17",46,43936
"18",60,38788
"19",62,42521
"20",69,39864
"21",72,39201
"22",74,39546
"23",77,40081
"24",79,38373
"25",81,39427
"26",84,36154
"27",85,46102
"28",86,40864
"29",87,45440
"30",90,42636
"31",93,44971
"32",94,35007
"33",96,45137
"34",99,36120
"35",100,43464
"36",118,37219
"37",120,39225
"38",125,40854
"39",127,45764
"40",129,40623
"41",135,38617
"42",138,43855
"43",139,35256
"44",141,44650
"45",144,39162
"46",145,36490
"47",148,44435
"48",150,43192
"49",152,35864
"50",153,35767
"51",158,35520
"52",159,46266
"53",162,42246
"54",180,42388
"55",185,38605
"56",186,39622
"57",192,45269
"58",196,34929
"59",199,43043
"60",200,39238
"61",201,36484
"62",204,39480
"63",205,45667
"64",209,45787
"65",211,46131
"66",212,36475
"67",214,40892
"68",221,40722
"69",225,39811
"70",229,40928
"71",233,41651
"72",235,38005
"73",240,38809
"74",245,36057
"75",246,42215
"76",248,43765
"77",250,44175
"78",256,38519
"79",257,44250
"80",260,39315
"81",267,46232
"82",268,39735
"83",284,44219
"84",285,42499
"85",290,41809
"86",291,38292
"87",292,40976
"88",294,44730
"89",295,41783
"90",297,44866
"91",300,41115
"92",301,35990
"93",304,38873
"94",314,41918
"95",315,42933
"96",324,42158
"97",328,46222
"98",329,42029
"99",333,41666
"100",334,35579
"101",341,39261
"102",345,44923
"103",347,37451
"104",350,38699
"105",351,43992
"106",353,36136
"107",354,35345
"108",355,36659
"109",360,41624
"110",361,44901
"111",367,40339
"112",370,36918
"113",371,43572
"114",373,35158
"115",375,37465
"116",381,39236
"117",383,43415
"118",386,37898
"119",389,45517
"120",390,45676
"121",399,35583
"122",406,45650
"123",409,43399
"124",411,43325
"125",412,37383
"126",413,41263
"127",414,42326
"128",417,43751
"129",424,38911
"130",425,44417
"131",440,45188
"132",441,44059
"133",443,43302
"134",445,39583
"135",448,45742
"136",450,40077
"137",451,43363
"138",453,38729
"139",455,45868
"140",460,41934
"141",462,44170
"142",465,43235
"143",470,35525
"144",475,38778
"145",478,36837
"146",485,41989
"147",486,42379
"148",490,41194
"149",491,41950
"150",492,35505
"151",494,38392
"152",495,39186
"153",500,37966
"154",509,42357
"155",510,39876
"156",525,43015
"157",526,36957
"158",530,37469
"159",536,44018
"160",538,40259
"161",540,35126
"162",541,42277
"163",542,42819
"164",543,40780
"165",544,38603
"166",545,40896
"167",550,36603
"168",551,37424
"169",552,42111
"170",554,35797
"171",555,45745
"172",556,40768
"173",565,38006
"174",567,40179
"175",581,46029
"176",582,46243
"177",586,39678
"178",588,37331
"179",593,41678
"180",594,44568
"181",600,41184
"182",604,38576
"183",610,38119
"184",613,43516
"185",621,40309
"186",632,36254
"187",633,42416
"188",635,35959
"189",643,36509
"190",644,38089
"191",646,44581
"192",649,45208
"193",653,42996
